term	code
infection of epididymis caused by Chlamydia trachomatis	A56.1
infection of epididymis due to Chlamydia trachomatis	A56.1
infection of testis caused by Chlamydia trachomatis	A56.1
infection of testis due to Chlamydia trachomatis	A56.1
inflammation of pelvis caused by Chlamydia trachomatis	A56.1
primary acinar cell carcinoma of parotid gland	C07
primary carcinoma of parotid gland	C07
primary carcinoma ex pleomorphic adenoma of parotid gland	C07
primary adenoid cystic carcinoma of parotid gland	C07
primary mucoepidermoid carcinoma of parotid gland	C07
carcinoma of parotid gland	C07
CA - Cancer of parotid gland	C07
cancer of parotid gland	C07
malignant tumour of parotid gland	C07
primary malignant neoplasm of parotid gland	C07
adenoid cystic carcinoma of parotid gland	C07
mucoepidermoid carcinoma of parotid gland	C07
cancer of parotid gland, mucoepidermoid	C07
carcinoma ex pleomorphic adenoma of parotid gland	C07
primary adenocarcinoma of parotid gland	C07
primary squamous cell carcinoma of parotid gland	C07
malignant neoplasm of carpal bone - scaphoid	C40.1
malignant neoplasm of carpal bone - lunate	C40.1
malignant neoplasm of carpal bone - triquetrum	C40.1
malignant neoplasm of carpal bone - pisiform	C40.1
malignant neoplasm of carpal bone - trapezium	C40.1
malignant neoplasm of trapezial bone	C40.1
malignant neoplasm of carpal bone - trapezoid	C40.1
malignant neoplasm of carpal bone - capitate	C40.1
malignant neoplasm of carpal bone - hamate	C40.1
malignant neoplasm of carpal bones	C40.1
malignant neoplasm of hand bones	C40.1
primary malignant neoplasm of scaphoid bone	C40.1
primary malignant neoplasm of trapezium	C40.1
primary malignant neoplasm of carpal bone	C40.1
primary malignant neoplasm of hamate bone	C40.1
primary malignant neoplasm of lunate bone	C40.1
primary malignant neoplasm of pisiform bone of hand	C40.1
primary malignant neoplasm of short bone of upper limb	C40.1
chondrosarcoma of skull	C41.0
primary malignant odontogenic neoplasm of upper jaw	C41.0
primary malignant odontogenic tumor of upper jaw	C41.0
primary malignant odontogenic tumour of upper jaw	C41.0
primary chordoma of clivus	C41.0
primary chordoma of bone of skull	C41.0
malignant neoplasm of bones of skull and face	C41.0
malignant neoplasm of orbital bone	C41.0
malignant tumor of nasal skeleton	C41.0
malignant tumour of nasal skeleton	C41.0
chordoma of clivus	C41.0
malignant neoplasm of maxillofacial bone	C41.0
malignant epithelial neoplasm of maxilla	C41.0
carcinoma of maxilla	C41.0
malignant odontogenic neoplasm of upper jaw	C41.0
malignant odontogenic tumor of upper jaw	C41.0
malignant odontogenic tumour of upper jaw	C41.0
osteosarcoma of bone of head	C41.0
primary malignant neoplasm of bone of face	C41.0
primary malignant neoplasm of bone of skull	C41.0
primary malignant neoplasm of ethmoid bone	C41.0
primary malignant neoplasm of frontal bone	C41.0
primary malignant neoplasm of jaw	C41.0
primary malignant neoplasm of occipital bone	C41.0
primary malignant neoplasm of palatine bone	C41.0
primary malignant neoplasm of parietal bone	C41.0
primary malignant neoplasm of sphenoid bone	C41.0
primary malignant neoplasm of temporal bone	C41.0
primary malignant neoplasm of vomer	C41.0
primary malignant neoplasm of zygomatic bone	C41.0
malignant melanoma of chin	C43.3
malignant melanoma of forehead	C43.3
malignant melanoma of nasal cavity	C43.3
malignant melanoma of skin of cheek	C43.3
malignant melanoma of skin of chin	C43.3
malignant melanoma of skin of eyebrow	C43.3
malignant melanoma of eyebrow	C43.3
malignant melanoma of skin of face	C43.3
malignant melanoma of skin of forehead	C43.3
malignant melanoma of skin of nose	C43.3
malignant melanoma of external surface of nose	C43.3
malignant melanoma of skin of temporal region	C43.3
scarring alopecia of scalp due to malignant neoplasm of skin	C44.9
cicatricial alopecia of scalp due to malignant infiltration of skin	C44.9
cicatricial alopecia of scalp due to malignant neoplasm of skin	C44.9
scarring alopecia of scalp due to malignant infiltration of skin	C44.9
primary mucoepidermoid carcinoma of skin	C44.9
primary mucinous eccrine carcinoma of skin	C44.9
primary clear cell squamous cell carcinoma of skin	C44.9
primary spindle cell squamous carcinoma of skin	C44.9
primary pseudosarcoma of skin	C44.9
primary acantholytic squamous cell carcinoma of skin	C44.9
primary metatypical basal cell carcinoma of skin	C44.9
primary epithelioid cell sarcoma of skin	C44.9
primary epithelioid sarcoma of Enzinger	C44.9
primary sebaceous adenocarcinoma	C44.9
primary carcinoma of sebaceous gland	C44.9
primary sebaceous carcinoma	C44.9
primary nodular basal cell carcinoma of skin	C44.9
primary basal cell carcinoma - infiltrative	C44.9
primary morpheic basal cell carcinoma	C44.9
primary cicatrising basal cell carcinoma	C44.9
primary superficial basal cell carcinoma	C44.9
primary multifocal basal cell carcinoma	C44.9
primary trichilemmal carcinoma	C44.9
primary eccrine ductal carcinoma of skin	C44.9
primary anaplastic syringoma	C44.9
primary carcinoma simplex	C44.9
primary eccrine ductal carcinoma	C44.9
primary malignant acrospiroma	C44.9
primary malignant eccrine acrospiroma	C44.9
primary clear cell eccrine hidradenocarcinoma of skin	C44.9
primary clear cell eccrine hidradenocarcinoma	C44.9
primary small cell eccrine carcinoma of skin	C44.9
primary small cell eccrine carcinoma	C44.9
primary apocrine adenocarcinoma of skin	C44.9
primary mixed eccrine/pilar adnexal carcinoma of skin	C44.9
primary undifferentiated adnexal carcinoma of skin	C44.9
primary carcinosarcoma of skin	C44.9
primary eccrine porocarcinoma of skin	C44.9
primary digital papillary eccrine carcinoma of skin	C44.9
primary digital papillary adenocarcinoma	C44.9
primary hidradenocarcinoma	C44.9
primary papillary digital eccrine carcinoma	C44.9
primary adenoid cystic eccrine carcinoma of skin	C44.9
primary cutaneous adenocystic carcinoma	C44.9
primary microcystic adnexal carcinoma of skin	C44.9
primary malignant syringoma	C44.9
primary microcystic adnexal carcinoma	C44.9
primary sclerosing sweat duct carcinoma	C44.9
primary syringoid eccrine carcinoma	C44.9
primary syringomatous sweat duct carcinoma	C44.9
primary eccrine carcinoma of skin	C44.9
primary myxofibrosarcoma of skin	C44.9
primary myxoid malignant fibrous histiocytoma of skin	C44.9
primary malignant eccrine spiradenoma of skin	C44.9
primary malignant eccrine spiradenoma	C44.9
primary malignant spiradenoma	C44.9
primary malignant chondroid syringoma of skin	C44.9
primary eccrine mixed tumor, malignant	C44.9
primary eccrine mixed tumour, malignant	C44.9
primary malignant chondroid syringoma	C44.9
primary malignant mixed tumor of the skin	C44.9
primary malignant mixed tumour of the skin	C44.9
primary malignant fibrous histiocytoma of skin	C44.9
primary superficial malignant fibrous histiocytoma of skin	C44.9
primary giant cell malignant fibrous histiocytoma of skin	C44.9
primary inflammatory malignant fibrous histiocytoma of skin	C44.9
primary pleomorphic malignant fibrous histiocytoma of skin	C44.9
primary fibroepithelioma of Pinkus	C44.9
primary Pinkus tumor	C44.9
primary Pinkus tumour	C44.9
primary pilomatrix carcinoma of skin	C44.9
primary extramammary Paget disease of skin	C44.9
primary extramammary Paget's disease of skin	C44.9
Merkel cell carcinoma	C44.9
Merkel cell tumor	C44.9
Merkel cell tumour	C44.9
trabecular cell carcinoma of skin	C44.9
myxoid dermatofibrosarcoma protuberans	C44.9
myxoid dermatofibrosarcoma	C44.9
myxoid malignant fibrous histiocytoma	C44.9
malignant epithelial neoplasm of skin	C44.9
malignant tumor of surface epithelium	C44.9
malignant tumour of surface epithelium	C44.9
squamous cell carcinoma of skin	C44.9
SCC - Squamous cell carcinoma of skin	C44.9
cutaneous squamous cell carcinoma	C44.9
spinous cell carcinoma	C44.9
SCC	C44.9
SCC	C44.9
clear cell squamous cell carcinoma of skin	C44.9
SCC - Clear cell squamous cell carcinoma of skin	C44.9
spindle cell squamous carcinoma of skin	C44.9
pseudosarcoma of skin	C44.9
basal cell carcinoma of skin	C44.9
RU - Rodent ulcer	C44.9
basal cell epithelioma	C44.9
basalioma	C44.9
cancer of skin, basal cell	C44.9
rodent ulcer	C44.9
BCC	C44.9
RU	C44.9
basosquamous carcinoma of skin	C44.9
BCC - Metatypical basal cell carcinoma of skin	C44.9
metatypical basal cell carcinoma of skin	C44.9
BCC	C44.9
fibroepithelioma of Pinkus	C44.9
Pinkus tumour	C44.9
malignant skin tumor with eccrine differentiation	C44.9
malignant sweat gland tumor	C44.9
malignant sweat gland tumour	C44.9
sweat gland carcinoma	C44.9
eccrine porocarcinoma of skin	C44.9
eccrine porocarcinoma	C44.9
digital papillary adenocarcinoma	C44.9
hidradenocarcinoma	C44.9
papillary digital eccrine carcinoma	C44.9
sweat gland adenocarcinoma	C44.9
basal cell carcinoma with eccrine differentiation	C44.9
adenoid cystic eccrine carcinoma of skin	C44.9
microcystic adnexal carcinoma of skin	C44.9
malignant syringoma	C44.9
microcystic adnexal carcinoma	C44.9
syringoid eccrine carcinoma	C44.9
syringomatous sweat duct carcinoma	C44.9
mucoepidermoid carcinoma of skin	C44.9
mucoepidermal eccrine carcinoma	C44.9
mucinous eccrine carcinoma of skin	C44.9
malignant skin tumor with apocrine differentiation	C44.9
malignant skin tumour with apocrine differentiation	C44.9
extramammary Paget's disease of skin	C44.9
extramammary Paget disease of skin	C44.9
extramammary Pagets disease of skin	C44.9
peripheral neuroepithelioma	C44.9
PNE - Peripheral neuroepithelioma	C44.9
peripheral neuroblastoma	C44.9
PNE	C44.9
cutaneous leiomyosarcoma	C44.9
epithelioid cell sarcoma of skin	C44.9
epithelioid sarcoma of Enzinger	C44.9
epithelioid sarcoma of skin	C44.9
follicular atrophoderma and basal cell epitheliomata	C44.9
Bazex-Dupre-Christol syndrome	C44.9
malignant skin tumor with adnexal differentiation	C44.9
malignant skin tumour with adnexal differentiation	C44.9
malignant tumor of epidermal appendage	C44.9
malignant tumour of epidermal appendage	C44.9
malignant tumor of dermis	C44.9
malignant tumour of dermis	C44.9
localized malignant reticulohistiocytoma	C44.9
localised malignant reticulohistiocytoma	C44.9
primary signet ring cell carcinoma of skin	C44.9
primary cutaneous signet ring cell carcinoma	C44.9
malignant tumor of skin with pilar differentiation	C44.9
malignant tumour of skin with pilar differentiation	C44.9
dermatofibrosarcoma protuberans	C44.9
DFSP - dermatofibrosarcoma protuberans	C44.9
dermatofibrosarcoma	C44.9
carcinoma of sebaceous gland	C44.9
sebaceous carcinoma	C44.9
pilomatrix carcinoma of skin	C44.9
local recurrence of malignant tumor of skin	C44.9
local recurrence of malignant tumour of skin	C44.9
cancer of skin	C44.9
skin cancer	C44.9
pigmented dermatofibrosarcoma protuberans of skin	C44.9
Bednar tumor	C44.9
Bednar tumour	C44.9
pigmented dermatofibrosarcoma	C44.9
pigmented storiform neurofibroma	C44.9
myxofibrosarcoma of skin	C44.9
basal cell carcinoma - adamantinoid	C44.9
basal cell carcinoma - adenoid	C44.9
basal cell carcinoma - follicular	C44.9
basal cell carcinoma - infiltrative	C44.9
basal cell carcinoma - keratotic	C44.9
basal cell carcinoma - micronodular	C44.9
basal cell carcinoma with matrical differentiation	C44.9
basal cell carcinoma with monster cells	C44.9
basal cell carcinoma with sebaceous differentiation	C44.9
basal cell carcinoma with signet ring change	C44.9
basal cell carcinoma - primary	C44.9
metastatic basal cell carcinoma	C44.9
basal cell carcinoma recurrent following excision	C44.9
basal cell carcinoma recurrent following Mohs' excision	C44.9
basal cell carcinoma recurrent following curettage	C44.9
basal cell carcinoma recurrent following cryosurgery	C44.9
basal cell carcinoma recurrent following radiotherapy	C44.9
basal cell carcinoma - second recurrence	C44.9
basal cell carcinoma - third recurrence	C44.9
basal cell carcinoma - multiple recurrences (more than three times)	C44.9
malignant neoplasm of nail apparatus	C44.9
malignant vascular tumor of skin	C44.9
malignant vascular tumour of skin	C44.9
malignant fibrohistiocytic tumor of skin	C44.9
malignant fibrohistiocytic tumour of skin	C44.9
primary malignant neoplasm of skin due to psoralen and longwave ultraviolet radiation therapy	C44.9
PUVA therapy-associated skin malignancy	C44.9
psoralen and long-wave ultraviolet radiation (PUVA) therapy-associated skin malignancy	C44.9
psoralen and long-wave ultraviolet radiation therapy-associated skin malignancy	C44.9
psoralen and long-wave ultraviolet radiation therapy-associated basal cell carcinoma	C44.9
PUVA therapy-associated basal cell carcinoma	C44.9
psoralen and long-wave ultraviolet radiation (PUVA) therapy-associated basal cell carcinoma	C44.9
psoralen and long-wave ultraviolet radiation therapy-associated squamous cell carcinoma	C44.9
PUVA therapy-associated squamous cell carcinoma	C44.9
psoralen and long-wave ultraviolet radiation (PUVA) therapy-associated squamous cell carcinoma	C44.9
radiation-induced skin malignancy	C44.9
malignant neoplasm of skin caused by arsenic	C44.9
arsenic-induced skin malignancy	C44.9
malignant neoplasm of skin caused by arsenic	T57.0
arsenic-induced skin malignancy	T57.0
malignant neoplasm of skin due to arsenic	T57.0
spindle cell squamous cell carcinoma	C44.9
pseudosarcoma of the skin	C44.9
signet ring squamous cell carcinoma	C44.9
verrucous squamous cell carcinoma	C44.9
verrucous epidermoid carcinoma	C44.9
multiple squamous cell carcinomata	C44.9
pigmented basal cell carcinoma	C44.9
circumscribed solid basal cell carcinoma	C44.9
cystic basal cell carcinoma	C44.9
morpheic basal cell carcinoma	C44.9
cicatrising basal cell carcinoma	C44.9
superficial basal cell carcinoma	C44.9
eccrine ductal carcinoma of skin	C44.9
anaplastic syringoma	C44.9
carcinoma simplex	C44.9
eccrine ductal carcinoma	C44.9
malignant acrospiroma	C44.9
malignant eccrine acrospiroma	C44.9
clear cell eccrine hidradenocarcinoma of skin	C44.9
malignant cylindroma of skin	C44.9
malignant cylindroma	C44.9
malignant dermal cylindroma	C44.9
malignant eccrine spiradenoma of skin	C44.9
malignant eccrine spiradenoma	C44.9
malignant spiradenoma	C44.9
malignant chondroid syringoma of skin	C44.9
eccrine mixed tumor, malignant	C44.9
eccrine mixed tumour, malignant	C44.9
malignant chondroid syringoma	C44.9
malignant mixed tumor of the skin	C44.9
small cell eccrine carcinoma of skin	C44.9
small cell eccrine carcinoma	C44.9
apocrine adenocarcinoma of skin	C44.9
mixed eccrine/pilar adnexal carcinoma of skin	C44.9
undifferentiated adnexal carcinoma of skin	C44.9
dermatofibrosarcoma protuberans with myoid differentiation	C44.9
dermatofibrosarcoma protuberans with granular cell change	C44.9
dermatofibrosarcoma protuberans with giant cell fibroblastoma	C44.9
giant cell fibroblastoma with dermatofibrosarcoma protuberans	C44.9
malignant fibrous histiocytoma of skin	C44.9
superficial malignant fibrous histiocytoma of skin	C44.9
giant cell malignant fibrous histiocytoma of skin	C44.9
epithelioid leiomyosarcoma of skin	C44.9
myxoid leiomyosarcoma of skin	C44.9
cutaneous leiomyosarcoma with granular cell change	C44.9
carcinosarcoma of skin	C44.9
malignant basal cell neoplasm of skin	C44.9
malignant basal cell tumor of skin	C44.9
malignant basal cell tumour of skin	C44.9
squamous cell carcinoma arising in chronic ulcer	C44.9
nodular basal cell carcinoma of skin	C44.9
primary adnexal carcinoma of skin	C44.9
primary malignant sarcoma of skin	C44.9
primary cutaneous sarcoma	C44.9
occupational cancer of skin	C44.9
occupational skin cancer	C44.9
primary malignant neoplasm of skin due to and following radiotherapy caused by ionizing radiation	C44.9
primary malignant neoplasm of skin due to and following radiotherapy caused by ionising radiation	C44.9
radiotherapy-induced skin malignancy	C44.9
primary malignant neoplasm of skin with adnexal differentiation	C44.9
primary malignant neoplasm of adnexa of skin	C44.9
primary malignant neoplasm of sebaceous gland	C44.9
primary malignant neoplasm of skin	C44.9
primary malignant neoplasm of sweat gland	C44.9
high grade astrocytoma of brain	C71.9
low grade astrocytoma of brain	C71.9
low grade astrocytoma brain cancer	C71.9
giant cell glioblastoma of brain	C71.9
protoplasmic astrocytoma of brain	C71.9
gemistocytic astrocytoma of brain	C71.9
fibrillary astrocytoma of brain	C71.9
pleomorphic xanthoastrocytoma of brain	C71.9
pilomyxoid astrocytoma of brain	C71.9
gliosarcoma of brain	C71.9
pilomyxoid astrocytoma	C71.9
primary embryonal carcinoma of brain	C71.9
primary malignant astrocytoma of brain	C71.9
primary malignant atypical teratoid rhabdoid neoplasm of brain	C71.9
primary teratoma of brain	C71.9
primary neuroblastoma of brain	C71.9
primary gliosarcoma of brain	C71.9
primary malignant glioma of brain	C71.9
primary glioblastoma multiforme of brain	C71.9
primary anaplastic astrocytoma of brain	C71.9
primary oligodendroglioma of brain	C71.9
primary mixed glioma	C71.9
primary primitive neuroectodermal tumor	C71.9
primary primitive neuroectodermal tumour	C71.9
primary anaplastic glioma of brain	C71.9
primary astroblastoma of brain	C71.9
primary gemistocytic astrocytoma of brain	C71.9
primary giant cell glioblastoma of brain	C71.9
primary fibrillary astrocytoma of brain	C71.9
primary pleomorphic xanthoastrocytoma of brain	C71.9
primary pilomyxoid astrocytoma of brain	C71.9
primary medulloblastoma	C71.9
primary oligodendroglioma	C71.9
primary ependymoblastoma	C71.9
primary mixed oligoastrocytoma	C71.9
primary diffuse astrocytoma of brain	C71.9
primary protoplasmic astrocytoma of brain	C71.9
primary pilomyxoid astrocytoma	C71.9
primary fibrillary astrocytoma of central nervous system	C71.9
pleomorphic xanthoastrocytoma	C71.9
astrocytoma of brain	C71.9
astrocytic tumor of brain	C71.9
astrocytic tumour of brain	C71.9
ependymoma of brain	C71.9
ependymal tumour of brain	C71.9
oligodendroglioma of brain	C71.9
mixed glial tumor of brain	C71.9
mixed glial tumour of brain	C71.9
malignant glioma of brain	C71.9
glioblastoma multiforme of brain	C71.9
anaplastic astrocytoma of brain	C71.9
glioblastoma multiforme	C71.9
glioma	C71.9
anaplastic glioma of brain	C71.9
malignant neoplasm of brain	C71.9
malignant neoplasm of cerebrum	C71.9
low grade glioma of brain	C71.9
benign glioma of brain	C71.9
ependymoma	C71.9
oligodendroglioma	C71.9
mixed glioma	C71.9
malignant neoplasm of axial suprasellar region of brain	C71.9
malignant epithelial neoplasm of brain	C71.9
carcinoma of brain	C71.9
chordoid glioma	C71.9
ependymoblastoma	C71.9
medulloepithelioma	C71.9
mixed oligoastrocytoma	C71.9
primary ganglioneuroblastoma of brain	C71.9
astroblastoma of brain	C71.9
pilocytic astrocytoma	C71.9
desmoplastic infantile astrocytoma and ganglioglioma	C71.9
DIA/DIG - desmoplastic infantile astrocytoma/ganglioglioma	C71.9
DIA/DIG	C71.9
DIA/DIG	C71.9
grade 4 malignant glioma of brain	C71.9
primary malignant neoplasm of brain	C71.9
Hodgkin's disease, mixed cellularity	C81.2
Hodgkin disease, mixed cellularity	C81.2
Hodgkin mixed cellularity lymphoma	C81.2
Hodgkin's disease, mixed cellularity (clinical)	C81.2
Hodgkin disease, mixed cellularity of lymph nodes of head	C81.2
Hodgkin's disease, mixed cellularity of lymph nodes of head	C81.2
Hodgkin disease, mixed cellularity of lymph nodes of head and neck	C81.2
Hodgkin's disease, mixed cellularity of lymph nodes of head and neck	C81.2
Hodgkin disease, mixed cellularity of lymph nodes of upper limb	C81.2
Hodgkin's disease, mixed cellularity of lymph nodes of upper limb	C81.2
Hodgkin disease, mixed cellularity of lymph nodes of lower limb	C81.2
Hodgkin's disease, mixed cellularity of lymph nodes of lower limb	C81.2
Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes	C81.2
Hodgkin disease, mixed cellularity of intrathoracic lymph nodes	C81.2
Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes	C81.2
Hodgkin disease, mixed cellularity of intra-abdominal lymph nodes	C81.2
Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes	C81.2
Hodgkin disease, mixed cellularity of intrapelvic lymph nodes	C81.2
Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites	C81.2
Hodgkin disease, mixed cellularity of lymph nodes of multiple sites	C81.2
Hodgkin's disease, mixed cellularity of spleen	C81.2
Hodgkin disease, mixed cellularity of spleen	C81.2
MF - Mycosis fungoides	C84.0
mycosis fungoides (clinical)	C84.0
MF	C84.0
mycosis fungoides of lymph nodes of neck	C84.0
mycosis fungoides of lymph nodes of head and neck	C84.0
mycosis fungoides of lymph nodes of upper limb	C84.0
mycosis fungoides of facial lymph node	C84.0
mycosis fungoides of lymph nodes of multiple sites	C84.0
patch/plaque stage mycosis fungoides	C84.0
parapsoriasis en plaques (mycosis fungoides)	C84.0
patch/plaque stage cutaneous T-cell lymphoma	C84.0
poikilodermatous mycosis fungoides	C84.0
poikilodermatous cutaneous T-cell lymphoma	C84.0
follicular mucinosis type mycosis fungoides	C84.0
alopecia mucinosa (T cell lymphoma)	C84.0
folliculotropic mycosis fungoides	C84.0
hypomelanotic cutaneous T-cell lymphoma	C84.0
lymphomatoid papulosis-associated mycosis fungoides	C84.0
lymphomatoid papulosis-associated cutaneous T-cell lymphoma	C84.0
granulomatous mycosis fungoides	C84.0
tumor stage mycosis fungoides	C84.0
tumor stage cutaneous T-cell lymphoma	C84.0
tumour stage cutaneous T-cell lymphoma	C84.0
tumour stage mycosis fungoides	C84.0
erythrodermic mycosis fungoides	C84.0
erythrodermic cutaneous T-cell lymphoma	C84.0
bullous mycosis fungoides	C84.0
bullous cutaneous T-cell lymphoma	C84.0
mycosis fungoides with systemic infiltration	C84.0
cutaneous T-cell lymphoma with systemic infiltration	C84.0
spongiotic mycosis fungoides	C84.0
spongiotic cutaneous T-cell lymphoma	C84.0
syringotropic mycosis fungoides	C84.0
syringotropic cutaneous T-cell lymphoma	C84.0
pagetoid reticulosis	C84.0
localized pagetoid reticulosis	C84.0
epidermotropic lymphoblastoma	C84.0
epidermotropic reticulosis	C84.0
localised pagetoid reticulosis	C84.0
generalized pagetoid reticulosis	C84.0
generalised pagetoid reticulosis	C84.0
ketron-Goodman disease	C84.0
mycosis fungoides of inguinal lymph node	C84.0
mycosis fungoides of lower limb lymph node	C84.0
classic mycosis fungoides	C84.0
mycosis fungoides Alibert Bazin type	C84.0
mycosis fungoides of intra-abdominal lymph nodes	C84.0
mycosis fungoides of intrathoracic lymph nodes	C84.0
mycosis fungoides of spleen	C84.0
juvenile polyposis of infancy	D12.6
familial adenomatous polyposis due to 5q22.2 microdeletion	D12.6
leiomyoma of large intestine	D12.6
benign mesenchymoma of large intestine	D12.6
benign gastrointestinal stromal neoplasm of large intestine	D12.6
benign gastrointestinal stromal tumor of large intestine	D12.6
benign gastrointestinal stromal tumour of large intestine	D12.6
low grade glandular intraepithelial neoplasia of large intestine	D12.6
malignant neoplasm of intestine due to familial adenomatous polyposis	D12.6
benign tubular adenoma of large intestine	D12.6
benign carcinoid tumor of large intestine	D12.6
benign carcinoid tumour of large intestine	D12.6
benign neuroendocrine neoplasm of large intestine	D12.6
intestinal polyposis syndrome	D12.6
inflammatory polyposis of intestine	D12.6
pseudopolyposis	D12.6
inflammatory fibroid polyposis of intestine	D12.6
Devon disease	D12.6
benign lymphoid polyposis of intestine	D12.6
benign lymphoid hyperplasia of intestine	D12.6
nonfamilial multiple polyposis syndrome	D12.6
villous adenoma of colon	D12.6
adenoma of large intestine	D12.6
polyp of colostomy site	D12.6
MAP - MYH associated polyposis	D12.6
MAP	D12.6
tubular adenoma of colon	D12.6
Gardner syndrome	D12.6
GS - Gardner's syndrome	D12.6
GS	D12.6
Turcot syndrome	D12.6
benign polyp of colon	D12.6
attenuated familial adenomatous polyposis	D12.6
attenuated familial polyposis coli	D12.6
cap polyposis	D12.6
cap inflammatory polyposis	D12.6
polypoid prolapsing folds	D12.6
familial multiple polyposis syndrome	D12.6
APC - Adenomatous polyposis coli	D12.6
FAP - Familial adenomatous polyposis	D12.6
FPC - Familial polyposis coli	D12.6
adenomatous polyposis	D12.6
adenomatous polyposis coli	D12.6
familial adenomatous polyposis	D12.6
familial polyposis coli	D12.6
polyposis coli	D12.6
FPC	D12.6
FAP	D12.6
APC	D12.6
hyperplastic polyposis syndrome	D12.6
serrated polyposis	D12.6
hereditary mixed polyposis syndrome	D12.6
HMPS - hereditary mixed polyposis syndrome	D12.6
HMPS	D12.6
benign neoplasm of colon	D12.6
benign tumor of colon	D12.6
benign tumour of colon	D12.6
benign neoplasm of large intestine	D12.6
benign tumor of large intestine	D12.6
benign tumour of large intestine	D12.6
juvenile polyposis syndrome	D12.6
juvenile polyposis of intestine	D12.6
juvenile polyps of large bowel	D12.6
retention polyps of large bowel	D12.6
